A,B,C,D,E,F
74.7867,149.573,51.4912,102.982,4.87522,9.75044
1.28331,2.56663,67.6327,135.265,17.6923,35.3845
97.0667,194.133,49.4027,98.8055,27.4063,54.8126
78.7027,157.405,35.9172,71.8344,81.3422,162.684
98.1862,196.372,0.835705,1.67141,48.2439,96.4878
54.1342,108.268,75.2868,150.574,74.2107,148.421
40.528,81.056,14.0095,28.019,14.5281,29.0562
60.7778,121.556,20.6487,41.2974,29.6248,59.2496
46.0826,92.1651,82.0743,164.149,60.7431,121.486
58.0463,116.093,78.8568,157.714,43.595,87.19
42.1872,84.3743,50.1908,100.382,27.1352,54.2705
36.4678,72.9356,97.0586,194.117,66.507,133.014
39.5045,79.009,23.4261,46.8522,41.6989,83.3978
86.4791,172.958,72.4723,144.945,31.6812,63.3624
69.193,138.386,53.2053,106.411,58.1396,116.279
85.9653,171.931,28.8821,57.7642,19.6198,39.2396
89.1598,178.32,33.1165,66.2329,58.7192,117.438
29.0354,58.0709,9.30017,18.6003,29.8465,59.693
31.312,62.624,23.6153,47.2306,56.0313,112.063
69.0318,138.064,73.2498,146.5,79.4686,158.937
70.5676,141.135,98.0417,196.083,10.7288,21.4576
81.635,163.27,58.9976,117.995,73.4867,146.973
96.4237,192.847,99.5688,199.138,69.5659,139.132
50.0506,100.101,13.4012,26.8024,18.1375,36.2749
55.7587,111.517,96.7157,193.431,64.5423,129.085
84.9821,169.964,14.46,28.92,21.9367,43.8735
60.2662,120.532,0.0608225,0.121645,59.009,118.018
82.8497,165.699,34.7919,69.5838,93.0461,186.092
86.6101,173.22,39.9168,79.8335,68.0373,136.075
76.8724,153.745,70.7815,141.563,18.4701,36.9403
59.9094,119.819,13.9632,27.9264,5.86048,11.721
79.3373,158.675,57.3488,114.698,58.3115,116.623
81.5554,163.111,96.3219,192.644,64.4442,128.888
7.85005,15.7001,37.5017,75.0035,31.3457,62.6915
89.2667,178.533,38.6472,77.2944,10.6193,21.2386
11.9647,23.9295,89.9695,179.939,79.2044,158.409
50.2688,100.538,52.1489,104.298,21.355,42.71
28.6043,57.2085,20.8124,41.6248,89.0464,178.093
35.8153,71.6305,47.5326,95.0653,80.1085,160.217
95.8416,191.683,94.2411,188.482,11.4351,22.8701
44.8247,89.6493,96.0855,192.171,60.7273,121.455
28.6737,57.3474,92.4933,184.987,18.8828,37.7656
23.7503,47.5006,94.5066,189.013,15.8085,31.6169
92.7163,185.433,36.4046,72.8092,20.963,41.926
5.06237,10.1247,95.3947,190.789,31.6114,63.2228
85.0864,170.173,95.0168,190.034,8.90669,17.8134
28.2315,56.4629,32.3062,64.6124,54.1146,108.229
40.3087,80.6174,8.54725,17.0945,34.2817,68.5634
69.9988,139.998,10.7725,21.5451,6.52611,13.0522
92.4109,184.822,91.023,182.046,21.8949,43.7898
2.09034,4.18068,98.1861,196.372,95.0109,190.022
17.7677,35.5354,32.2733,64.5467,77.5966,155.193
30.6262,61.2525,83.4481,166.896,65.2113,130.423
1.21533,2.43066,0.505383,1.01077,46.0244,92.0488
31.3738,62.7477,64.0542,128.108,79.9236,159.847
20.2458,40.4917,65.3648,130.73,14.6988,29.3977
38.9559,77.9118,63.3887,126.777,24.6932,49.3865
47.1885,94.377,35.727,71.4541,92.1734,184.347
53.5506,107.101,72.8074,145.615,92.7563,185.513
49.7947,99.5894,60.9736,121.947,56.0246,112.049
72.9681,145.936,90.2591,180.518,80.8766,161.753
74.3315,148.663,63.1744,126.349,86.3069,172.614
94.5186,189.037,31.9485,63.8971,80.0053,160.011
76.2211,152.442,26.7544,53.5087,97.5651,195.13
24.2731,48.5463,95.0207,190.041,58.9472,117.894
57.4276,114.855,8.02811,16.0562,36.2566,72.5133
76.1044,152.209,18.4872,36.9743,94.8986,189.797
0.0474353,0.0948707,96.0451,192.09,86.0197,172.039
25.8966,51.7932,87.6367,175.273,3.28447,6.56894
90.3308,180.662,6.95093,13.9019,34.8042,69.6084
15.2142,30.4285,95.5638,191.128,31.4224,62.8449
30.6998,61.3996,86.1442,172.288,56.3076,112.615
6.33921,12.6784,23.1783,46.3566,8.49458,16.9892
25.3728,50.7456,97.2407,194.481,1.22793,2.45585
72.9181,145.836,82.3391,164.678,46.6184,93.2369
13.213,26.426,68.9253,137.851,11.4384,22.8767
41.9801,83.9602,89.4427,178.885,18.8143,37.6287
27.4296,54.8591,38.9509,77.9018,62.0263,124.053
7.08679,14.1736,91.2804,182.561,82.6492,165.298
33.6806,67.3612,91.8132,183.626,66.1621,132.324
37.688,75.3761,61.5135,123.027,9.16147,18.3229
10.1573,20.3145,55.0692,110.138,38.2933,76.5867
20.8568,41.7136,69.0194,138.039,67.3106,134.621
72.814,145.628,91.6924,183.385,29.6355,59.2709
48.1466,96.2932,80.2583,160.517,37.1,74.2001
21.5582,43.1164,64.4925,128.985,86.1019,172.204
27.7337,55.4674,3.946,7.89199,23.8349,47.6697
16.9702,33.9404,22.8376,45.6752,16.7054,33.4107
62.4186,124.837,31.5866,63.1732,65.2921,130.584
7.64795,15.2959,88.9333,177.867,50.7604,101.521
26.3252,52.6504,65.4337,130.867,92.9908,185.982
85.0369,170.074,4.01962,8.03924,52.4679,104.936
99.5112,199.022,75.7684,151.537,93.3457,186.691
20.7663,41.5326,38.6189,77.2377,25.1093,50.2185
55.0709,110.142,21.1874,42.3747,38.3037,76.6074
6.28841,12.5768,67.5937,135.187,0.385116,0.770232
77.0986,154.197,23.8811,47.7622,1.6059,3.21181
44.2239,88.4478,43.8547,87.7093,72.0949,144.19
93.3715,186.743,77.1584,154.317,93.6478,187.296
4.31986,8.63973,24.1962,48.3925,68.7814,137.563
21.0112,42.0225,56.9349,113.87,74.8137,149.627
34.3233,68.6467,6.49318,12.9864,57.2601,114.52
80.0517,160.103,32.7889,65.5778,40.5732,81.1465
23.125,46.2501,41.9057,83.8114,93.1913,186.383
93.2148,186.43,64.7907,129.581,49.8587,99.7174
7.55769,15.1154,6.63293,13.2659,62.011,124.022
26.4314,52.8628,27.2595,54.5191,17.7071,35.4142
97.1435,194.287,37.3178,74.6356,44.8909,89.7819
51.8546,103.709,90.0739,180.148,97.0542,194.108
89.9077,179.815,52.8304,105.661,52.7913,105.583
98.1757,196.351,56.6501,113.3,44.4543,88.9086
79.4559,158.912,91.8789,183.758,61.694,123.388
8.59014,17.1803,70.0462,140.092,84.4119,168.824
18.8671,37.7341,96.494,192.988,75.7803,151.561
11.9315,23.863,82.4387,164.877,65.6365,131.273
2.78098,5.56196,41.0358,82.0716,33.5955,67.191
11.0328,22.0656,78.0442,156.088,62.2583,124.517
46.5364,93.0727,81.9497,163.899,14.1328,28.2656
65.815,131.63,87.4452,174.89,66.512,133.024
52.2803,104.561,2.55308,5.10617,31.4539,62.9078
37.0911,74.1822,60.2668,120.534,67.4959,134.992
69.0199,138.04,97.9529,195.906,9.30542,18.6108
63.8778,127.756,6.1544,12.3088,92.8846,185.769
91.3429,182.686,94.453,188.906,10.7199,21.4398
36.3498,72.6996,47.6963,95.3926,74.0891,148.178
43.2649,86.5298,91.7857,183.571,93.7897,187.579
36.859,73.718,36.6691,73.3383,46.978,93.956
51.2361,102.472,27.317,54.6339,49.8258,99.6516
87.0805,174.161,14.3994,28.7987,97.1461,194.292
68.8144,137.629,97.5644,195.129,53.1808,106.362
89.4895,178.979,12.6928,25.3857,71.7027,143.405
83.9352,167.87,48.5308,97.0616,80.0322,160.064
95.8384,191.677,99.14,198.28,10.297,20.594
8.57301,17.146,61.4219,122.844,5.8218,11.6436
84.8206,169.641,97.5761,195.152,75.4118,150.824
9.73284,19.4657,53.7898,107.58,85.724,171.448
61.0874,122.175,20.9624,41.9247,71.8587,143.717
74.0294,148.059,92.0042,184.008,38.2413,76.4827
37.7357,75.4713,55.1042,110.208,48.0808,96.1615
9.15166,18.3033,33.8574,67.7149,10.1775,20.355
72.6004,145.201,87.1103,174.221,17.7408,35.4815
18.0016,36.0033,56.7583,113.517,57.2336,114.467
11.3655,22.7311,11.6792,23.3584,94.3158,188.632
18.8395,37.6791,1.62441,3.24881,7.6725,15.345
90.2493,180.499,49.7088,99.4176,34.2043,68.4086
85.8097,171.619,29.4277,58.8554,66.6232,133.246
13.7112,27.4224,97.6361,195.272,99.1451,198.29
97.5481,195.096,52.8536,105.707,82.0762,164.152
9.63744,19.2749,33.9285,67.8569,52.0971,104.194
66.0691,132.138,69.6481,139.296,97.0334,194.067
81.5971,163.194,95.1348,190.27,19.9048,39.8096
24.6786,49.3571,30.0077,60.0154,43.1319,86.2638
7.80448,15.609,52.8634,105.727,75.2466,150.493
69.219,138.438,50.0236,100.047,84.4128,168.826
70.5536,141.107,39.9511,79.9022,63.6658,127.332
25.78,51.5601,42.8909,85.7818,83.0671,166.134
81.9644,163.929,33.9565,67.913,1.29755,2.5951
49.83,99.6601,76.0396,152.079,41.6232,83.2463
67.5875,135.175,2.19584,4.39169,93.7356,187.471
52.9104,105.821,94.899,189.798,35.6839,71.3678
78.5188,157.038,2.03555,4.0711,87.1466,174.293
80.5008,161.002,79.9492,159.898,99.8971,199.794
80.4756,160.951,62.1163,124.233,84.289,168.578
5.60072,11.2014,36.1602,72.3205,44.5538,89.1077
97.2176,194.435,46.3147,92.6294,30.1176,60.2351
44.1701,88.3402,72.1997,144.399,6.75268,13.5054
17.2024,34.4049,5.63912,11.2782,17.5324,35.0648
80.9584,161.917,95.7217,191.443,25.3098,50.6195
9.00032,18.0006,59.308,118.616,49.5277,99.0554
20.932,41.8639,50.0838,100.168,88.0421,176.084
97.2025,194.405,52.9746,105.949,85.9955,171.991
12.1436,24.2872,5.74076,11.4815,83.4324,166.865
43.1759,86.3518,25.9935,51.987,50.6339,101.268
75.6937,151.387,34.4022,68.8044,36.0533,72.1065
71.5833,143.167,15.7745,31.5491,26.9149,53.8298
3.59057,7.18113,45.9781,91.9561,44.4326,88.8653
62.5382,125.076,2.62043,5.24086,76.4468,152.894
16.5898,33.1796,57.7664,115.533,44.5209,89.0418
3.4282,6.85639,90.0988,180.198,21.582,43.164
20.5421,41.0841,10.0419,20.0838,44.2823,88.5646
64.6859,129.372,44.7955,89.5909,54.3088,108.618
57.491,114.982,0.265303,0.530606,32.0602,64.1205
52.2092,104.418,77.8523,155.705,82.1356,164.271
94.0992,188.198,44.4426,88.8853,51.3122,102.624
73.4291,146.858,1.27612,2.55224,83.2168,166.434
99.7571,199.514,31.1948,62.3896,84.9611,169.922
45.4839,90.9678,76.7824,153.565,81.1386,162.277
34.8959,69.7917,30.1833,60.3666,52.174,104.348
94.4357,188.871,78.1709,156.342,41.4327,82.8655
16.8389,33.6779,42.1254,84.2508,48.9241,97.8483
97.7591,195.518,65.0545,130.109,89.8594,179.719
46.6695,93.339,96.3703,192.741,84.5665,169.133
84.7938,169.588,6.18354,12.3671,93.7016,187.403
4.73158,9.46315,13.9689,27.9378,29.9275,59.855
14.5897,29.1793,57.2724,114.545,96.2943,192.589
98.2216,196.443,49.2185,98.4371,29.724,59.4481
72.2863,144.573,96.9729,193.946,92.071,184.142
77.8255,155.651,49.3004,98.6007,95.9753,191.951
67.4029,134.806,44.7289,89.4578,83.3907,166.781
96.645,193.29,88.7792,177.558,53.8148,107.63
78.0271,156.054,72.5313,145.063,34.593,69.1861
89.4143,178.829,7.24104,14.4821,65.5898,131.18
34.5535,69.1069,55.2565,110.513,84.0764,168.153
93.9563,187.913,10.5943,21.1886,2.41747,4.83494
91.7923,183.585,49.5353,99.0705,80.2282,160.456
66.6671,133.334,56.3163,112.633,5.37352,10.747
90.3512,180.702,10.7916,21.5832,62.9444,125.889
3.1954,6.39081,31.3835,62.767,94.249,188.498
84.6621,169.324,82.2104,164.421,92.1614,184.323
35.5296,71.0592,31.0119,62.0238,59.7305,119.461
99.5992,199.198,2.813,5.626,14.9774,29.9548
84.273,168.546,49.7181,99.4363,40.0155,80.031
44.1847,88.3695,24.7352,49.4705,92.7458,185.492
69.8518,139.704,91.883,183.766,2.60856,5.21711
1.01652,2.03303,2.70914,5.41827,90.8547,181.709
23.4216,46.8431,67.5137,135.027,7.99231,15.9846
95.0731,190.146,72.253,144.506,97.2048,194.41
56.8,113.6,57.7663,115.533,92.3206,184.641
24.4242,48.8483,57.1711,114.342,85.6462,171.292
17.2765,34.553,41.8121,83.6243,55.0566,110.113
12.8572,25.7145,93.7687,187.537,13.6942,27.3884
42.5542,85.1085,93.7375,187.475,49.9449,99.8898
32.4855,64.9709,1.00976,2.01952,11.4455,22.891
52.2576,104.515,51.3345,102.669,2.22353,4.44707
67.4034,134.807,71.547,143.094,81.162,162.324
24.5027,49.0053,60.0713,120.143,19.3477,38.6954
29.3109,58.6219,78.4614,156.923,37.6871,75.3741
25.0278,50.0556,37.6231,75.2463,73.8566,147.713
38.6537,77.3075,62.7624,125.525,60.9495,121.899
35.8167,71.6333,9.2399,18.4798,23.4038,46.8076
85.3405,170.681,1.87445,3.7489,77.076,154.152
74.7723,149.545,59.5595,119.119,75.0307,150.061
74.6828,149.366,97.2296,194.459,97.5399,195.08
70.9774,141.955,14.7319,29.4638,14.2674,28.5348
57.434,114.868,69.7549,139.51,85.7976,171.595
12.391,24.782,22.8948,45.7896,10.939,21.8779
5.06186,10.1237,74.7493,149.499,47.0899,94.1797
72.7039,145.408,52.6851,105.37,77.1552,154.31
18.2024,36.4049,2.44348,4.88697,29.5244,59.0487
50.1372,100.274,52.3875,104.775,82.8137,165.627
19.4822,38.9643,41.1245,82.249,63.0262,126.052
5.00034,10.0007,13.3814,26.7627,38.664,77.328
43.1904,86.3808,73.4955,146.991,42.0451,84.0901
54.952,109.904,42.9912,85.9823,17.6545,35.309
31.0009,62.0018,28.5479,57.0957,43.0357,86.0715
60.3096,120.619,91.1741,182.348,65.529,131.058
31.111,62.2219,7.83689,15.6738,9.39344,18.7869
95.5473,191.095,76.5891,153.178,49.3391,98.6781
73.499,146.998,50.6722,101.344,38.5933,77.1867
35.6784,71.3569,46.4261,92.8523,45.1869,90.3737
55.2377,110.475,37.9292,75.8585,20.0238,40.0476
69.5282,139.056,16.2366,32.4733,60.9019,121.804
2.84971,5.69942,29.3659,58.7319,61.7841,123.568
28.4003,56.8007,60.797,121.594,50.4297,100.859
61.7647,123.529,25.1017,50.2035,20.6232,41.2464
83.2609,166.522,7.06478,14.1296,22.8999,45.7998
47.6284,95.2569,77.7913,155.583,56.6188,113.238
3.78799,7.57598,9.41285,18.8257,2.87972,5.75944
63.7569,127.514,52.4658,104.932,94.9598,189.92
92.0599,184.12,87.2002,174.4,9.68265,19.3653
58.9711,117.942,5.82987,11.6597,27.5657,55.1314
98.2536,196.507,40.1809,80.3618,70.9778,141.956
44.429,88.858,14.8855,29.7711,71.52,143.04
87.7305,175.461,29.1965,58.3929,11.5766,23.1532
32.0162,64.0323,35.8678,71.7356,31.0677,62.1354
80.6811,161.362,77.091,154.182,15.36,30.7201
50.0086,100.017,64.5375,129.075,76.5908,153.182
75.3023,150.605,12.1972,24.3944,77.838,155.676
37.3402,74.6803,28.8899,57.7799,57.3634,114.727
34.7862,69.5724,98.8041,197.608,52.1107,104.221
1.0608,2.1216,28.5817,57.1635,46.9081,93.8161
42.212,84.424,71.4316,142.863,66.5786,133.157
29.0184,58.0368,57.7576,115.515,0.221616,0.443232
96.2714,192.543,77.8632,155.726,33.9853,67.9706
37.2858,74.5716,68.9808,137.962,26.3732,52.7464
77.7868,155.574,81.3029,162.606,74.7965,149.593
3.30745,6.61489,87.9696,175.939,49.7492,99.4984
45.1563,90.3127,73.1951,146.39,53.3501,106.7
20.5681,41.1361,87.0318,174.064,45.0744,90.1488
26.1249,52.2498,38.5298,77.0596,26.509,53.018
80.256,160.512,50.287,100.574,88.052,176.104
91.6168,183.234,12.9412,25.8824,64.2786,128.557
53.7846,107.569,97.61,195.22,56.8976,113.795
82.7217,165.443,70.898,141.796,75.9506,151.901
9.86362,19.7272,59.1861,118.372,34.5485,69.0971
25.8603,51.7206,73.8054,147.611,98.5867,197.173
52.6967,105.393,66.5265,133.053,60.0718,120.144
6.06048,12.121,5.72032,11.4406,95.8983,191.797
43.4183,86.8367,87.9217,175.843,95.9546,191.909
97.5057,195.011,86.4135,172.827,58.3111,116.622
70.708,141.416,33.0102,66.0203,89.321,178.642
79.6265,159.253,40.4833,80.9666,61.7469,123.494
50.7427,101.485,9.28923,18.5785,73.5998,147.2
52.3174,104.635,51.2665,102.533,75.8316,151.663
